n bits ylog
95 60 1.98297
95 70 2.00408
95 80 1.7718
95 90 1.89236
95 100 2.03457
147 20 1.77275
147 30 1.7183
147 40 1.71641
147 50 1.69295
147 60 1.69004
147 70 1.75127
147 80 1.777
147 90 1.73836
147 100 1.78618
225 20 1.94088
225 30 2.08516
225 40 1.96363
225 50 1.86494
225 60 1.89077
225 70 1.89984
225 80 1.98983
225 90 1.93695
225 100 1.83967
342 20 1.95159
342 30 1.78936
342 40 1.92734
342 50 2.03702
342 60 1.68335
342 70 1.92155
342 80 1.84642
342 90 1.73133
342 100 1.86324
60 20 1.52219
60 30 1.64563
60 40 1.59612
60 50 1.6016
60 60 1.64554
60 70 1.52117
60 80 1.57856
60 90 1.5284
60 100 1.39149
95 20 2.21422
95 30 2.1328
95 40 2.08673
95 50 2.14495
95 60 2.20446
95 70 2.02277
95 80 2.08516
95 90 1.92753
95 100 1.93744
147 20 1.84288
147 30 1.80685
147 40 1.79882
147 50 1.76933
147 60 1.71495
147 70 1.63582
147 80 1.77754
147 90 1.74705
147 100 1.79651
225 20 1.61911
225 30 1.53519
225 40 1.71487
225 50 1.6657
225 60 1.68573
225 70 1.66877
225 80 1.67633
225 90 1.65757
225 100 1.73394
342 20 1.6025
342 30 1.63733
342 40 1.63228
342 50 1.5841
342 60 1.59076
342 70 1.58026
342 80 1.71499
342 90 1.61337
342 100 1.65561
60 20 1.77523
60 30 1.96708
60 40 1.94173
60 50 1.51697
60 60 2.26806
60 70 1.62648
60 80 2.16832
60 90 1.69083
60 100 1.62016
95 20 1.93111
95 30 1.72902
95 40 1.54856
95 50 2.05466
95 60 1.57853
95 70 1.65606
95 80 1.52349
95 90 1.82799
95 100 1.60083
147 20 1.93331
147 30 1.91117
147 40 1.97895
147 50 2.10746
147 60 1.99959
147 70 2.00206
147 80 1.80143
147 90 1.73697
147 100 1.71086
225 20 1.85836
225 30 1.77986
225 40 1.8735
225 50 1.71206
225 60 1.7583
225 70 1.73879
225 80 1.75175
225 90 1.71258
225 100 1.76468
342 20 2.30378
342 30 2.50111
342 40 2.48631
342 50 2.59466
342 60 2.43938
342 70 2.49351
342 80 2.45866
342 90 2.54056
342 100 2.3633
60 20 1.57114
60 30 1.40843
60 40 1.47817
60 50 1.62419
60 60 1.51206
60 70 1.47527
60 80 1.52529
60 90 1.57604
60 100 1.50105
95 20 2.22414
95 30 1.91841
95 40 1.94176
95 50 2.10426
95 60 2.28297
95 70 1.92222
95 80 2.00918
95 90 1.91281
95 100 1.90252
147 20 2.75775
147 30 2.61408
147 40 2.70425
147 50 2.66733
147 60 2.69798
147 70 2.23959
147 80 2.75035
147 90 2.72525
147 100 2.84532
225 20 1.80255
225 30 2.08313
225 40 1.83595
225 50 2.0639
225 60 2.01523
225 70 2.0058
225 80 1.92695
225 90 1.98325
225 100 1.70858
342 20 1.87132
342 30 1.90781
342 40 1.7969
342 50 1.77261
342 60 1.77514
342 70 1.89852
342 80 1.64714
342 90 1.71702
342 100 1.74356
60 20 1.40948
60 30 1.48612
60 40 1.32796
60 50 1.55977
60 60 1.64899
60 70 1.4712
60 80 1.54987
60 90 1.54178
60 100 1.48675
95 20 1.8024
95 30 1.71899
95 40 1.95767
95 50 1.82767
95 60 1.88551
95 70 1.86103
95 80 1.74334
95 90 1.9444
95 100 1.57551
147 20 1.76982
147 30 1.84614
147 40 1.68945
147 50 1.65513
147 60 1.69304
147 70 1.55603
147 80 1.72754
147 90 1.64007
147 100 1.54021
225 20 2.28318
225 30 2.38265
225 40 2.28902
225 50 2.25896
225 60 2.14202
225 70 2.24563
225 80 1.86846
225 90 1.85687
225 100 1.97322
342 20 1.93988
342 30 1.71737
342 40 1.83139
342 50 1.83923
342 60 1.94478
342 70 1.81199
342 80 1.93161
342 90 1.88558
342 100 1.85276
60 20 1.60589
60 30 1.60805
60 40 1.48456
60 50 1.47703
60 60 1.45795
60 70 1.64048
60 80 1.67872
60 90 1.78192
60 100 1.55411
95 20 1.6748
95 30 1.64752
95 40 1.74384
95 50 2.0019
95 60 1.88794
95 70 1.90383
95 80 1.98475
95 90 1.9433
95 100 1.68722
147 20 1.59506
147 30 1.62846
147 40 1.7199
147 50 1.66024
147 60 1.72366
147 70 1.55965
147 80 1.57659
147 90 1.5971
147 100 1.59818
225 20 1.94691
225 30 2.01106
225 40 1.8281
225 50 1.94152
225 60 1.98005
225 70 2.05364
225 80 1.87543
225 90 1.70884
225 100 1.67452
342 20 2.48972
342 30 2.35368
342 40 2.29952
342 50 2.27982
342 60 2.26779
342 70 2.0343
342 80 2.41394
342 90 2.40361
342 100 2.21267
