n bits err time time_gold
600 20 18.885395 8.168152e+01 1.017513e+02
600 30 16.588735 8.151105e+01 1.004378e+02
600 40 17.793197 8.320089e+01 1.020334e+02
600 50 18.035815 8.275617e+01 1.018820e+02
600 60 17.029826 8.363521e+01 1.019259e+02
800 10 13.658586 1.982935e+02 2.431223e+02
800 20 19.406880 2.115133e+02 2.638601e+02
800 30 20.222575 1.966448e+02 2.438693e+02
800 40 21.895259 1.961257e+02 2.427818e+02
800 50 19.197560 2.046196e+02 2.491875e+02
800 60 22.875455 2.058426e+02 2.475580e+02
1000 10 14.595398 3.944154e+02 4.822851e+02
1000 20 20.470673 3.850552e+02 4.767251e+02
1000 30 18.115217 3.962367e+02 4.816541e+02
1000 40 18.886833 4.120510e+02 5.212967e+02
1000 50 19.119057 3.991211e+02 4.884234e+02
1000 60 19.093703 4.015867e+02 4.833173e+02
1200 10 15.001747 7.175467e+02 9.047892e+02
1200 20 18.406669 6.734632e+02 8.301390e+02
1200 30 25.158822 7.256237e+02 8.756553e+02
1200 40 20.066104 7.003284e+02 8.659029e+02
1200 50 22.320486 5.904826e+02 7.228514e+02
1200 60 21.081945 7.031621e+02 8.437562e+02
1400 10 15.143252 1.107189e+03 1.348391e+03
1400 20 19.395481 1.093614e+03 1.344944e+03
1400 30 18.659859 1.081282e+03 1.332468e+03
1400 40 19.344911 1.207129e+03 1.497038e+03
1400 50 18.789221 9.443327e+02 1.153530e+03
1400 60 19.534165 9.615767e+02 1.173825e+03
1600 10 15.136688 1.853702e+03 2.289575e+03
1600 20 18.330063 1.663962e+03 2.031324e+03
1600 30 20.553681 1.675245e+03 2.026961e+03
1600 40 20.189585 1.697543e+03 2.056756e+03
1600 50 24.990156 1.424666e+03 1.727569e+03
1600 60 19.354132 1.752322e+03 2.076302e+03
1800 10 15.695205 2.318322e+03 2.847577e+03
1800 20 21.846502 2.364279e+03 2.875570e+03
1800 30 20.194069 2.517858e+03 3.109501e+03
1800 40 24.533977 2.313470e+03 2.851230e+03
1800 50 22.387753 2.029419e+03 2.463220e+03
1800 60 21.834784 2.475032e+03 2.917176e+03
2000 10 16.053099 3.278327e+03 3.975125e+03
2000 20 21.572424 3.249570e+03 3.968745e+03
2000 30 20.559828 3.224928e+03 3.987299e+03
2000 40 26.808860 3.352993e+03 4.049439e+03
2000 50 20.652370 2.808044e+03 3.395696e+03
2000 60 21.346449 2.838808e+03 3.396684e+03
2200 10 16.482604 4.352998e+03 5.331935e+03
2200 20 19.459129 4.648782e+03 5.750513e+03
2200 30 22.283893 4.465414e+03 5.514313e+03
2200 40 22.273762 4.348952e+03 5.327692e+03
2200 50 20.152706 3.746325e+03 4.512009e+03
2200 60 27.033401 3.827407e+03 4.547750e+03
2400 10 16.376541 5.656184e+03 6.872991e+03
2400 20 21.214562 6.243538e+03 7.704734e+03
2400 30 23.456730 5.733060e+03 6.942824e+03
2400 40 26.930770 5.713504e+03 6.920083e+03
2400 50 19.804662 4.863867e+03 5.890612e+03
2400 60 23.166107 5.892902e+03 7.001373e+03
2600 10 17.119781 7.058485e+03 8.643553e+03
2600 20 22.044649 7.206003e+03 8.791463e+03
2600 30 21.626792 7.072697e+03 8.752219e+03
2600 40 23.397547 7.201469e+03 8.751855e+03
2600 50 24.584371 6.104629e+03 7.481815e+03
2600 60 21.844730 6.145422e+03 7.435877e+03
2800 10 17.508129 9.070521e+03 1.109460e+04
2800 20 21.184286 9.280285e+03 1.115232e+04
2800 30 20.330082 9.334084e+03 1.130189e+04
2800 40 21.425158 9.593686e+03 1.153384e+04
2800 50 23.395572 7.786321e+03 9.377187e+03
2800 60 22.135082 1.086129e+04 1.274442e+04
3000 10 17.621699 1.103093e+04 1.353517e+04
3000 20 20.352983 1.116414e+04 1.363474e+04
3000 30 24.754497 1.125041e+04 1.361731e+04
3000 40 23.036696 1.131579e+04 1.369758e+04
3000 50 24.980606 9.702472e+03 1.155728e+04
3000 60 21.240853 1.134768e+04 1.351926e+04
3200 10 17.624905 1.354918e+04 1.644728e+04
3200 20 21.160141 1.352339e+04 1.646473e+04
3200 30 21.383123 1.357142e+04 1.653572e+04
3200 40 21.256105 1.352396e+04 1.646379e+04
3200 50 22.902721 1.177374e+04 1.411140e+04
3200 60 22.884530 1.390107e+04 1.645782e+04
3400 10 18.071958 1.651511e+04 1.991741e+04
3400 20 21.451435 1.656038e+04 1.997021e+04
3400 30 25.092868 1.617520e+04 1.973658e+04
3400 40 21.934417 1.790494e+04 2.208255e+04
3400 50 23.239573 1.434055e+04 1.704542e+04
3400 60 23.001216 1.697212e+04 1.995546e+04
3600 10 18.440613 1.930000e+04 2.358106e+04
3600 20 21.348794 1.987103e+04 2.429017e+04
3600 30 22.741053 1.914919e+04 2.342774e+04
3600 40 22.319802 2.110460e+04 2.539798e+04
3600 50 23.720182 1.663862e+04 2.004804e+04
3600 60 21.430597 2.015564e+04 2.342271e+04
3800 10 18.651689 2.421262e+04 2.895167e+04
3800 20 21.616565 2.270270e+04 2.865468e+04
3800 30 23.065808 2.387947e+04 2.999761e+04
3800 40 22.169912 2.361371e+04 2.791313e+04
3800 50 22.779982 1.972300e+04 2.379102e+04
3800 60 21.584831 2.361849e+04 2.765611e+04
4000 10 19.009832 2.929548e+04 3.607219e+04
4000 20 21.206537 2.696074e+04 3.266237e+04
4000 30 22.861119 2.687159e+04 3.248113e+04
4000 40 26.413767 2.839060e+04 3.497458e+04
4000 50 24.033732 2.322152e+04 2.859845e+04
4200 10 19.171553 3.486314e+04 4.133706e+04
4200 20 21.771597 3.470362e+04 4.118520e+04
4200 30 24.254072 3.472143e+04 4.128308e+04
4200 40 24.442910 3.845742e+04 4.496348e+04
4200 50 22.791580 3.729519e+04 4.544515e+04
4400 10 19.328475 4.212765e+04 4.956541e+04
4400 20 21.835789 3.966702e+04 4.758433e+04
4400 30 20.962245 3.985347e+04 4.757422e+04
4400 40 24.544807 4.052901e+04 4.800957e+04
4400 50 22.743667 3.559929e+04 4.184125e+04
4600 10 19.534935 4.596669e+04 5.476592e+04
4600 20 21.685866 4.567223e+04 5.472950e+04
4600 30 22.762773 4.831566e+04 5.975795e+04
4600 40 26.414991 5.165579e+04 5.824271e+04
4600 50 22.289047 4.731019e+04 5.815905e+04
4800 10 19.611648 5.743669e+04 6.947894e+04
4800 20 22.018976 5.503910e+04 6.700566e+04
4800 30 25.386563 5.238186e+04 6.257146e+04
4800 40 23.108288 5.288284e+04 6.305463e+04
4800 50 23.077436 5.630112e+04 6.731538e+04
5000 10 19.799215 6.044130e+04 7.135092e+04
5000 20 21.666010 6.084762e+04 7.167090e+04
5000 30 22.626408 5.998536e+04 7.121041e+04
5000 40 24.849514 5.150026e+04 6.342250e+04
5000 50 24.882606 4.828889e+04 6.076839e+04
60 10 9.73346
60 20 8.97404
60 30 8.91693
60 40 9.80864
60 50 8.70795
60 60 8.84154
60 70 8.68249
60 80 9.1502
60 90 8.39031
60 100 9.13646
95 10 11.1472
95 20 10.628
95 30 10.8487
95 40 10.5277
95 50 10.1267
95 60 10.3447
95 70 10.6218
95 80 10.5289
95 90 9.8855
95 100 11.3656
147 10 11.3608
147 20 11.9734
147 30 11.2163
147 40 11.7551
147 50 12.9243
147 60 11.8653
147 70 12.2815
147 80 11.9947
147 90 11.9133
147 100 11.9071
225 10 11.8423
225 20 14.6377
225 30 13.5567
225 40 14.261
225 50 14.1384
225 60 15.0821
225 70 13.882
225 80 15.3048
225 90 12.7156
225 100 14.828
342 10 12.596
342 20 16.7343
342 30 15.4409
342 40 17.0593
342 50 18.5572
342 60 18.1188
342 70 13.9604
342 80 17.4429
342 90 14.1888
342 100 16.237
60 10 10.4321
60 20 10.3622
60 30 9.63766
60 40 9.02344
60 50 9.58936
60 60 11.1633
60 70 9.86296
60 80 10.0716
60 90 10.0376
60 100 10.1078
95 10 10.7715
95 20 11.7487
95 30 12.9311
95 40 12.8643
95 50 11.0956
95 60 10.4416
95 70 12.1098
95 80 11.6513
95 90 11.1732
95 100 10.0183
147 10 11.0331
147 20 12.6914
147 30 12.2906
147 40 11.4761
147 50 11.3678
147 60 11.224
147 70 12.9958
147 80 12.7845
147 90 13.3898
147 100 13.1882
225 10 12.1139
225 20 16.1854
225 30 16.7677
225 40 16.4073
225 50 14.4879
225 60 16.4834
225 70 17.6661
225 80 15.3526
225 90 16.3687
225 100 17.8956
342 10 12.6115
342 20 17.408
342 30 17.6385
342 40 17.8307
342 50 19.2057
342 60 17.5751
342 70 18.0889
342 80 18.0279
342 90 14.8488
342 100 15.774
60 10 10.5092
60 20 14.5478
60 30 12.3187
60 40 16.7198
60 50 13.1902
60 60 13.4315
60 70 13.973
60 80 15.4754
60 90 14.9333
60 100 15.8841
95 10 10.7545
95 20 13.5048
95 30 12.1662
95 40 11.5022
95 50 12.9386
95 60 12.1281
95 70 12.8171
95 80 10.661
95 90 12.4875
95 100 11.6199
147 10 10.7684
147 20 12.8033
147 30 13.3724
147 40 11.8996
147 50 11.9765
147 60 12.1858
147 70 12.1799
147 80 12.8838
147 90 12.5974
147 100 13.1888
225 10 12.0951
225 20 14.2345
225 30 14.3087
225 40 14.4682
225 50 13.9198
225 60 14.5084
225 70 14.6313
225 80 14.8208
225 90 14.0166
225 100 15.4197
342 10 12.5415
342 20 19.5123
342 30 21.3287
342 40 22.8033
342 50 22.5597
342 60 21.9649
342 70 21.8409
342 80 21.7882
342 90 22.0937
342 100 22.3359
60 10 9.49819
60 20 10.1121
60 30 8.79841
60 40 8.5602
60 50 9.10161
60 60 10.605
60 70 8.68625
60 80 10.988
60 90 11.1338
60 100 8.69094
95 10 10.2104
95 20 11.3069
95 30 10.4133
95 40 10.357
95 50 9.53105
95 60 10.0079
95 70 10.0667
95 80 10.912
95 90 9.9967
95 100 9.50536
147 10 11.6251
147 20 15.2095
147 30 15.1329
147 40 13.3549
147 50 14.7512
147 60 15.1486
147 70 14.5833
147 80 14.0803
147 90 14.6705
147 100 14.6073
225 10 11.7511
225 20 12.5536
225 30 12.5385
225 40 13.1631
225 50 13.7223
225 60 14.5922
225 70 13.2993
225 80 14.5487
225 90 15.0287
225 100 14.0331
342 10 12.6112
342 20 15.3376
342 30 15.1779
342 40 16.3736
342 50 14.508
342 60 15.5745
342 70 14.6764
342 80 14.7772
342 90 15.5949
342 100 14.3176
60 10 9.60493
60 20 8.93927
60 30 8.62494
60 40 9.49173
60 50 9.96279
60 60 9.98106
60 70 9.67029
60 80 8.56586
60 90 10.3734
60 100 10.0513
95 10 10.8962
95 20 13.6525
95 30 11.1427
95 40 12.3762
95 50 13.0946
95 60 13.0278
95 70 13.1665
95 80 11.6405
95 90 12.4325
95 100 13.3668
147 10 11.3591
147 20 12.7632
147 30 12.3712
147 40 12.3576
147 50 12.1887
147 60 12.1677
147 70 12.6086
147 80 12.7938
147 90 12.5156
147 100 12.8599
225 10 12.0966
225 20 15.1656
225 30 16.293
225 40 15.3434
225 50 14.5722
225 60 14.7741
225 70 14.8449
225 80 15.5481
225 90 15.1349
225 100 14.3748
342 10 12.681
342 20 16.4282
342 30 15.0626
342 40 16.2241
342 50 17.1473
342 60 14.1702
342 70 16.1753
342 80 15.5429
342 90 14.5741
342 100 15.6845
60 10 9.54443
60 20 8.99139
60 30 9.72056
60 40 9.42811
60 50 9.46047
60 60 9.72004
60 70 8.98536
60 80 9.3244
60 90 9.02811
60 100 8.21937
95 10 10.2259
95 20 14.5471
95 30 14.0122
95 40 13.7095
95 50 14.092
95 60 14.483
95 70 13.2893
95 80 13.6992
95 90 12.6636
95 100 12.7287
147 10 11.47
147 20 13.2681
147 30 13.0087
147 40 12.9509
147 50 12.7386
147 60 12.3471
147 70 11.7774
147 80 12.7977
147 90 12.5782
147 100 12.9343
225 10 11.8451
225 20 12.6514
225 30 11.9956
225 40 13.3996
225 50 13.0154
225 60 13.1719
225 70 13.0394
225 80 13.0985
225 90 12.9519
225 100 13.5486
342 10 12.4048
342 20 13.4896
342 30 13.7828
342 40 13.7403
342 50 13.3347
342 60 13.3908
342 70 13.3024
342 80 14.4365
342 90 13.5811
342 100 13.9367
60 10 9.55794
60 20 10.4861
60 30 11.6193
60 40 11.4696
60 50 8.96057
60 60 13.3972
60 70 9.60744
60 80 12.808
60 90 9.98757
60 100 9.57013
95 10 10.5302
95 20 12.6871
95 30 11.3594
95 40 10.1738
95 50 13.4988
95 60 10.3707
95 70 10.8801
95 80 10.0091
95 90 12.0096
95 100 10.5172
147 10 11.5603
147 20 13.9192
147 30 13.7598
147 40 14.2478
147 50 15.173
147 60 14.3964
147 70 14.4142
147 80 12.9697
147 90 12.5056
147 100 12.3176
225 10 12.0032
225 20 14.5208
225 30 13.9074
225 40 14.6391
225 50 13.3777
225 60 13.739
225 70 13.5865
225 80 13.6878
225 90 13.3817
225 100 13.7888
342 10 12.7033
342 20 19.3929
342 30 21.054
342 40 20.9294
342 50 21.8415
342 60 20.5343
342 70 20.99
342 80 20.6966
342 90 21.3861
342 100 19.8939
60 10 9.13334
60 20 9.28056
60 30 8.31946
60 40 8.7314
60 50 9.59394
60 60 8.9316
60 70 8.71424
60 80 9.00973
60 90 9.3095
60 100 8.86653
95 10 11.5604
95 20 14.6123
95 30 12.6037
95 40 12.7571
95 50 13.8247
95 60 14.9988
95 70 12.6287
95 80 13.2
95 90 12.5669
95 100 12.4993
147 10 11.7532
147 20 19.8549
147 30 18.8205
147 40 19.4697
147 50 19.2039
147 60 19.4246
147 70 16.1243
147 80 19.8016
147 90 19.6209
147 100 20.4854
225 10 12.0069
225 20 14.0847
225 30 16.2771
225 40 14.3457
225 50 16.1269
225 60 15.7466
225 70 15.6729
225 80 15.0568
225 90 15.4967
225 100 13.3505
342 10 12.4999
342 20 15.7525
342 30 16.0597
342 40 15.126
342 50 14.9216
342 60 14.9429
342 70 15.9815
342 80 13.8654
342 90 14.4536
342 100 14.677
60 10 10.2666
60 20 8.32566
60 30 8.77837
60 40 7.84414
60 50 9.21338
60 60 9.74043
60 70 8.69022
60 80 9.15493
60 90 9.10712
60 100 8.78207
95 10 10.6199
95 20 11.8415
95 30 11.2935
95 40 12.8616
95 50 12.0075
95 60 12.3875
95 70 12.2267
95 80 11.4535
95 90 12.7744
95 100 10.3509
147 10 11.4858
147 20 12.7421
147 30 13.2916
147 40 12.1635
147 50 11.9164
147 60 12.1893
147 70 11.2029
147 80 12.4377
147 90 11.808
147 100 11.089
225 10 12.379
225 20 17.8403
225 30 18.6175
225 40 17.8859
225 50 17.651
225 60 16.7373
225 70 17.5469
225 80 14.5997
225 90 14.5092
225 100 15.4183
342 10 12.384
342 20 16.3296
342 30 14.4566
342 40 15.4164
342 50 15.4824
342 60 16.3709
342 70 15.2531
342 80 16.26
342 90 15.8725
342 100 15.5963
60 10 8.33812
60 20 9.48581
60 30 9.49859
60 40 8.76915
60 50 8.72468
60 60 8.61195
60 70 9.69014
60 80 9.91604
60 90 10.5256
60 100 9.17997
95 10 10.7609
95 20 11.0032
95 30 10.824
95 40 11.4568
95 50 13.1522
95 60 12.4035
95 70 12.5079
95 80 13.0395
95 90 12.7672
95 100 11.0848
147 10 11.0196
147 20 11.4839
147 30 11.7244
147 40 12.3827
147 50 11.9532
147 60 12.4098
147 70 11.229
147 80 11.3509
147 90 11.4986
147 100 11.5064
225 10 11.821
225 20 15.2127
225 30 15.714
225 40 14.2844
225 50 15.1706
225 60 15.4717
225 70 16.0467
225 80 14.6542
225 90 13.3525
225 100 13.0843
342 10 12.7541
342 20 20.9581
342 30 19.8129
342 40 19.357
342 50 19.1912
342 60 19.0899
342 70 17.1244
342 80 20.3202
342 90 20.2332
342 100 18.6259
